0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 labels
234.92 73.95 242.82 65.81 237.48 67.52 262.39 78.46 251.32 80.79 270.35 137.55 266.46 136.47 203.21 90.52 224.51 82.93 199.11 34.86 199.99 22.8 292.64 323.99 272.41 317.61 282.81 413.99 186.65 390.3 329.05 567.26 180.33 545.94 drive
454.27 144.41 450.3 130.03 447.73 135.88 423.21 125.67 414.84 135.49 407.06 172.0 412.55 182.73 471.63 170.72 495.69 176.52 480.79 69.89 492.53 76.1 355.96 346.84 337.92 350.2 422.66 471.98 305.6 496.95 375.53 599.76 186.03 601.11 drive
453.15 144.14 449.82 129.99 446.4 134.75 423.68 126.6 413.4 134.27 406.91 175.26 411.12 185.85 472.39 169.8 495.97 179.45 478.55 69.71 493.62 79.4 356.4 349.64 337.48 352.96 424.09 473.54 302.76 498.43 378.24 599.2 184.47 604.85 drive
460.23 397.86 452.53 399.77 467.26 399.1 437.77 390.18 469.21 390.83 420.48 355.61 456.47 352.98 329.45 343.54 408.39 313.32 279.09 365.22 364.09 296.26 403.67 284.86 421.41 281.07 336.61 318.17 335.18 327.87 274.21 336.24 278.84 338.59 drive
330.16 123.68 342.0 110.33 316.14 110.18 350.79 111.98 292.28 111.17 365.4 155.71 289.64 165.42 400.57 148.84 366.65 179.22 404.26 106.6 418.88 128.21 335.36 333.37 262.23 333.48 400.51 426.21 184.13 439.86 319.45 556.62 82.24 576.05 drive
273.37 69.24 272.57 61.53 272.56 63.66 272.88 59.5 281.76 63.22 294.02 88.94 286.5 97.01 272.31 149.28 281.37 167.79 266.8 163.26 264.28 168.56 340.94 188.7 339.74 192.42 324.95 288.78 339.16 286.22 299.01 388.24 366.32 385.91 drive
370.04 79.12 372.37 75.09 369.74 70.9 362.38 78.1 360.88 65.89 354.87 114.15 329.2 81.53 367.72 173.6 341.37 78.66 388.12 150.59 363.59 88.11 306.85 200.14 291.56 189.1 302.24 286.34 317.82 284.95 272.75 389.09 338.7 394.62 drive
272.2 69.64 273.47 61.49 267.98 65.13 279.12 58.7 270.03 67.2 307.94 81.94 276.82 104.67 308.74 127.74 277.21 174.79 301.56 174.61 256.26 166.15 348.27 185.78 332.98 194.51 323.94 289.35 337.82 289.72 299.63 386.75 366.53 390.5 drive
275.59 70.5 274.09 62.51 274.36 65.06 273.03 59.98 281.87 64.93 295.95 88.56 285.19 100.11 274.64 145.63 282.06 171.99 262.69 160.48 259.11 167.72 342.55 190.38 339.14 195.41 325.28 289.85 337.36 289.05 299.19 388.97 368.93 390.1 drive
276.89 71.85 279.03 64.48 271.67 68.34 285.24 63.42 270.38 73.76 313.5 78.13 275.58 111.95 307.69 77.2 275.43 175.87 282.19 81.82 261.61 167.36 350.16 183.97 328.73 195.56 325.16 282.72 337.74 282.4 298.6 382.38 366.18 387.21 drive
334.12 121.75 346.92 112.54 321.69 110.83 361.4 124.05 301.74 118.83 371.83 175.28 286.05 164.57 376.45 194.79 322.55 170.86 407.31 135.18 408.46 130.98 341.09 340.78 261.52 334.63 390.92 425.67 184.35 436.37 319.85 563.54 80.91 572.51 drive
 drive
332.19 123.57 343.8 111.39 318.33 111.44 352.77 117.64 294.96 116.51 366.78 166.75 293.13 168.01 408.42 166.86 369.66 170.97 431.39 98.32 434.65 108.28 335.89 334.48 264.36 332.38 394.67 422.83 189.7 436.51 318.42 557.19 85.63 573.59 drive
329.82 123.3 341.48 110.32 315.82 110.11 349.84 113.73 291.97 112.69 365.75 158.59 289.06 166.74 404.07 153.47 367.31 179.32 408.48 111.7 421.72 129.61 336.2 335.02 262.43 334.54 402.11 426.18 185.48 438.55 319.66 557.09 83.11 575.23 drive
265.06 107.35 278.29 89.56 248.16 91.99 286.44 86.59 217.98 92.11 301.87 131.91 233.08 152.95 333.15 159.34 334.62 173.2 350.63 73.85 366.55 80.33 322.3 344.44 246.78 357.98 391.88 474.87 155.49 533.24 339.27 584.11 48.61 640.0 drive
482.89 1.13 486.89 0.0 476.59 0.0 497.56 0.0 468.51 0.0 524.13 7.95 457.58 20.04 545.43 60.38 469.47 79.44 516.89 87.66 496.71 87.29 538.04 105.64 492.7 112.55 544.76 166.51 508.47 174.14 545.07 194.23 518.58 198.35 drive
330.17 87.51 343.61 73.56 317.91 77.12 377.58 73.8 311.3 82.11 382.2 142.11 306.7 141.72 278.11 183.21 267.75 168.01 240.77 94.06 261.32 95.18 403.59 338.94 325.27 346.44 501.21 458.35 290.07 484.94 588.72 563.32 325.86 596.46 drive
328.67 208.94 330.04 204.93 327.77 203.84 331.68 215.01 332.6 211.95 362.37 248.84 341.44 261.23 427.53 205.85 364.71 254.9 434.21 182.04 409.88 208.78 394.83 392.68 385.73 396.72 378.53 498.79 399.2 492.13 365.95 593.18 381.45 601.41 drive
11.14 503.6 15.19 493.39 10.4 495.88 35.38 498.31 25.97 502.47 72.86 562.17 35.96 560.25 83.09 623.24 30.28 609.08 36.15 609.48 13.7 591.58 82.97 640.0 59.9 640.0 29.14 625.15 14.22 616.52 29.27 636.06 25.97 623.96 drive
385.22 114.93 398.81 105.05 380.75 102.68 418.68 112.18 373.99 105.55 404.49 163.81 345.83 147.17 303.47 172.18 285.25 144.36 255.7 106.83 255.07 93.64 389.62 348.35 319.32 341.22 468.39 524.45 260.35 508.9 555.84 610.6 269.15 598.11 drive
262.8 112.39 275.02 95.34 246.78 98.44 283.6 91.15 219.64 98.18 296.39 132.29 236.15 152.0 309.01 143.21 331.83 159.89 336.28 59.97 361.31 67.74 317.9 349.33 246.86 361.0 386.31 488.55 157.29 534.94 344.12 592.36 71.19 640.0 drive
554.11 195.54 556.54 190.12 550.04 190.76 560.03 191.17 543.21 192.32 575.67 221.99 530.29 224.84 591.6 256.99 524.74 257.22 583.22 255.37 549.93 226.29 580.39 295.59 550.68 298.35 578.75 340.48 557.7 341.8 576.39 372.97 559.09 371.72 drive
87.33 188.51 90.72 184.82 85.41 184.54 96.25 190.59 82.61 189.76 107.74 225.54 65.35 219.87 114.78 258.02 38.13 241.8 100.89 266.83 41.49 258.38 90.43 299.93 61.72 297.8 94.29 344.3 55.9 343.49 99.2 389.88 50.27 393.16 drive
135.51 180.27 143.16 162.28 126.7 171.85 170.57 137.07 138.8 152.49 227.76 167.29 172.76 175.79 193.39 293.71 162.76 262.33 132.83 282.9 139.61 272.01 437.88 316.05 392.93 341.75 537.64 455.43 505.45 494.11 574.1 501.72 581.63 533.43 drive
85.33 187.34 89.38 183.73 83.72 183.43 96.68 189.64 82.49 188.71 107.02 223.14 68.05 219.59 114.31 253.43 45.61 247.6 104.5 252.44 44.63 265.83 90.14 300.6 63.63 298.7 93.96 344.17 55.52 344.18 98.87 388.24 50.98 391.83 drive
268.92 102.52 283.35 84.92 254.07 85.99 287.54 81.1 219.81 81.14 299.19 125.33 223.02 141.51 335.39 167.48 330.4 178.92 359.77 81.26 373.48 82.62 319.21 342.97 238.48 354.64 390.71 483.24 146.06 533.56 337.11 594.88 45.01 640.0 drive
261.87 113.05 275.14 95.47 245.12 97.81 286.86 90.39 218.55 96.18 303.54 134.0 235.99 151.75 327.03 163.21 333.74 169.84 348.97 75.14 363.15 73.72 319.76 345.23 245.28 356.48 389.74 475.31 158.54 526.24 344.74 586.06 68.25 640.0 drive
 drive
327.51 210.15 335.15 203.11 321.23 202.33 347.17 208.21 315.12 207.21 372.84 247.43 326.21 263.09 404.98 216.69 366.29 253.58 418.13 191.88 409.51 204.73 405.84 391.88 371.05 399.9 412.09 489.73 365.76 498.19 389.09 586.75 356.06 610.66 drive
 drive
 drive
 drive
375.12 100.16 392.25 89.27 365.33 87.82 418.96 98.8 356.51 94.34 405.64 162.22 342.11 144.83 303.87 169.25 284.69 142.19 267.87 83.42 279.34 67.1 397.96 363.63 325.44 356.0 467.08 527.98 259.75 507.06 559.84 618.51 264.2 597.41 drive
257.02 108.14 271.27 89.7 243.39 91.84 281.11 88.02 216.25 89.71 296.72 136.66 230.3 146.92 337.13 165.74 330.49 180.49 360.37 113.3 374.63 120.51 317.55 368.36 239.4 371.83 385.62 547.64 144.7 559.29 388.18 603.6 59.31 612.28 drive
408.19 180.83 404.01 175.72 407.59 177.41 387.01 183.95 396.15 186.06 397.53 221.17 389.33 225.46 420.04 192.09 430.07 209.85 430.02 134.1 445.74 147.95 416.54 334.28 401.59 335.64 458.44 416.22 382.41 405.78 442.19 510.31 349.97 494.47 drive
407.58 181.67 404.15 175.72 408.73 177.2 387.1 180.38 400.56 181.56 399.14 214.38 386.48 222.61 421.1 185.76 424.66 217.87 422.72 133.58 446.19 161.72 417.08 332.71 398.99 336.36 459.43 411.55 376.32 406.45 449.57 494.74 352.85 490.16 drive
243.46 180.57 248.53 175.73 241.54 174.08 255.35 180.17 243.11 175.17 253.89 219.48 234.91 200.06 211.43 219.19 228.18 167.3 189.58 161.4 213.9 128.18 243.26 340.33 217.36 332.29 264.76 419.5 179.17 414.17 309.58 505.84 203.18 512.3 drive
408.18 174.82 402.65 168.8 409.86 170.42 383.56 176.5 401.21 177.43 398.33 218.25 388.31 220.68 423.94 203.03 426.97 217.16 428.6 132.68 446.81 153.46 415.57 336.45 400.05 337.72 456.5 412.84 382.59 409.53 440.15 499.55 352.71 494.65 drive
402.79 181.23 401.76 175.02 402.4 176.38 389.68 178.36 393.86 178.97 401.09 212.51 384.5 219.24 421.95 190.7 425.01 215.5 423.2 136.18 443.59 154.05 419.45 330.22 398.73 333.62 460.51 406.71 377.15 403.42 451.1 489.66 354.76 489.35 drive
399.19 292.87 409.31 285.32 393.68 281.09 407.31 281.19 369.64 267.58 398.08 315.28 352.55 297.34 416.81 377.99 381.35 362.12 445.64 406.83 432.1 381.56 333.32 446.78 301.75 428.09 288.46 534.45 258.26 489.0 217.23 580.55 186.49 541.29 drive
245.18 179.49 251.27 174.5 241.41 172.73 258.2 179.06 238.81 173.92 253.38 218.89 231.64 200.7 211.56 218.45 226.54 170.59 189.55 159.71 211.56 127.93 244.2 340.58 216.48 333.2 264.99 419.73 179.16 415.08 309.77 506.51 202.97 512.07 drive
370.23 125.39 365.07 122.15 369.37 123.62 350.49 134.11 364.5 136.8 372.67 171.19 362.94 170.49 403.31 157.14 398.63 147.54 402.53 115.87 393.59 100.56 416.56 270.87 401.25 274.38 464.03 339.58 395.7 337.6 476.97 436.33 394.11 435.24 drive
354.4 128.46 358.12 131.11 362.55 129.73 360.63 147.38 378.32 143.32 337.98 153.09 359.03 156.16 326.9 86.8 350.53 98.61 352.37 51.79 370.26 49.72 301.67 159.38 314.94 163.42 323.24 106.51 341.16 121.76 333.52 98.09 347.99 119.46 drive
424.83 365.0 434.99 359.58 423.12 355.68 447.41 356.4 419.25 345.13 458.95 381.26 408.03 361.39 478.93 422.56 422.95 436.56 476.3 396.22 473.35 435.62 370.29 462.25 334.41 431.36 343.26 555.98 294.89 451.73 283.05 579.2 229.58 467.78 drive
